Artist,Claim,Baseline_Verdict,Hybrid_Verdict,Hybrid_Status,MB_Conflict_Flag,Ground_Truth,Baseline_Mapped
VroegZat,VroegZat bringing nightlife to the early evening,CONTRADICTION,CONTRADICTION,INTRINSIC_HALLUCINATION,False,FALSE,FALSE
VroegZat,VroegZat bringing nightlife with a mix of danceable tunes across genres,ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
Frank Boeijen,Dutch singer-songwriter Frank Boeijen returns to his beloved hometown of Nijmegen,ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
Frank Boeijen,Dutch singer-songwriter Frank Boeijen returns for an evening of poetic songs and stories,ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
And Also the Trees,And Also the Trees is The English post-punk band,ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
And Also the Trees,"And Also the Trees, The English post-punk band And performs songs from their new album 'The Devil's Door",ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
Bertolf,Dutch musician Bertolf presents his bluegrass album 'Bluefinger vol,ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
Wyatt E.,"Belgian band Wyatt E. performs long, hypnotic, and atmospheric compositions built on heavy, repetitive riffs and deep drones, often based on ancient mythology",UNSUPPORTED,UNSUPPORTED,EXTRINSIC_INJECTION_TRUE,False,TRUE,UNSUPPORTED
Wyatt E.,"Wyatt E. built on heavy, repetitive riffs and deep drones",CONTRADICTION,CONTRADICTION,VALID,False,TRUE,FALSE
Wyatt E.,Wyatt E. based on ancient mythology,ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
Daryll-Ann,Daryll-Ann is The Dutch guitar pop band,ENTAILMENT,ENTAILMENT,SOURCE_CONFLICT (Text likely wrong),True,TRUE,TRUE
Daryll-Ann,The Dutch guitar pop band performs their cult-classic album 'Daryll-Ann Weeps' in its entirety,CONTRADICTION,CONTRADICTION,INTRINSIC_HALLUCINATION,True,TRUE,FALSE
Daryll-Ann,The Dutch guitar pop band performs their cult-classic album 'Daryll-Ann Weeps' for the first time,CONTRADICTION,CONTRADICTION,INTRINSIC_HALLUCINATION,True,TRUE,FALSE
daoud,daoud is The French-Moroccan trumpeter,CONTRADICTION,CONTRADICTION,INTRINSIC_HALLUCINATION,True,FALSE,FALSE
daoud,"The French-Moroccan trumpeter and composer daoud plays unconventional, danceable, and cheerful jazz that blends hip-hop grooves,",UNSUPPORTED,UNSUPPORTED,EXTRINSIC_HALLUCINATION_FALSE,True,TRUE,UNSUPPORTED
daoud,"daoud, that blends hip-hop grooves,",ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
Klezmagic,Klezmagic is The Amsterdam-based Balkan band,ENTAILMENT,ENTAILMENT,VALID,False,UNSUPPORTED,TRUE
Klezmagic,"Klezmagic, The Amsterdam-based Balkan band presents their new album 'Op Vrije Voeten' in an energetic show blending Balkan, Klezmer, and Ska",CONTRADICTION,CONTRADICTION,INTRINSIC_HALLUCINATION,False,TRUE,FALSE
Klezmagic,"Klezmagic blending Balkan, Klezmer, and Ska",ENTAILMENT,ENTAILMENT,VALID,False,TRUE,TRUE
IOS,A Dutch Nederpop band returns with new material and classic hits.,UNSUPPORTED,UNSUPPORTED,EXTRINSIC_INJECTION_TRUE,False,TRUE,UNSUPPORTED
Master Boot Record,"Master Boot Record creates an instrumental retro-futurist soundscape fusing heavy metal, chiptune, and classical, supported by Italian death metal band Fulci and solo Gameboy project Arottenbrit",CONTRADICTION,CONTRADICTION,INTRINSIC_HALLUCINATION,True,TRUE,FALSE
